County,FIPS code,Population,Food Insecurity Rate,Number,% below 130% poverty,% between 130% and %185 poverty,% above 185% poverty,,,,,,,,
Monroe,29137,8642,0.14,1210,0.55,0.21,0.24,,,,,127,127,Marion,10
Montgomery,29139,11820,0.142,1680,0.67,0.14,0.19,,,,,129,129,Mercer,3
Morgan,29141,20182,0.164,3310,0.7,0.22,0.09,,,,,131,131,Miller,26
New Madrid,29143,18229,0.215,3930,0.71,0.13,0.16,,,,,133,133,Mississippi,33
Newton,29145,58741,0.127,7460,0.57,0.25,0.19,,,,,135,135,Moniteau,26
Nodaway,29147,23026,0.18,4140,0.57,0.12,0.31,,,,,137,137,Monroe,10
Oregon,29149,10922,0.169,1840,0.67,0.14,0.19,,,,,139,139,Montgomery,12
Osage,29151,13704,0.097,1330,0.4,0.25,0.35,,,,,141,141,Morgan,26
Ozark,29153,9450,0.179,1690,0.73,0.16,0.11,,,,,143,143,New Madrid,34
Pemiscot,29155,17599,0.243,4280,0.73,0.13,0.14,,,,,145,145,Newton,40
Perry,29157,19152,0.102,1950,0.52,0.23,0.25,,,,,147,147,Nodaway,4
Pettis,29159,42193,0.138,5830,0.68,0.17,0.15,,,,,149,149,Oregon,37
Phelps,29161,44833,0.162,7260,0.6,0.11,0.29,,,,,151,151,Osage,20
Pike,29163,18475,0.142,2630,0.52,0.17,0.31,,,,,153,153,Ozark,44
Platte,29165,94970,0.112,10620,0.32,0.15,0.53,,,,,155,155,Pemiscot,34
Polk,29167,31113,0.147,4560,0.67,0.13,0.2,,,,,157,157,Perry,32
Pulaski,29169,53302,0.161,8580,0.42,0.17,0.41,,,,,159,159,Pettis,18
Putnam,29171,4877,0.144,700,0.64,0.14,0.22,,,,,161,161,Phelps,25
Ralls,29173,10225,0.117,1200,0.5,0.2,0.3,,,,,163,163,Pike,45
Randolph,29175,25081,0.15,3760,0.57,0.16,0.27,,,,,165,165,Platte,6
Ray,29177,22921,0.132,3020,0.51,0.12,0.37,,,,,167,167,Polk,30
Reynolds,29179,6530,0.151,990,0.63,0.2,0.17,,,,,169,169,Pulaski,25
Ripley,29181,13936,0.169,2350,0.72,0.15,0.13,,,,,171,171,Putnam,3
St. Charles,29183,379856,0.096,36510,0.3,0.11,0.59,,,,,173,173,Ralls,10
St. Clair,29185,9444,0.159,1500,0.63,0.17,0.21,,,,,175,175,Randolph,14
Ste. Genevieve,29186,17937,0.128,2290,0.52,0.1,0.38,,,,,177,177,Ray,8
St. Francois,29187,66230,0.153,10150,0.53,0.16,0.31,,,,,179,179,Reynolds,42
St. Louis,29189,1000560,0.147,146730,0.38,0.15,0.48,,,,,181,181,Ripley,36
Saline,29195,23214,0.139,3220,0.59,0.18,0.24,,,,,183,183,St. Charles,11
Schuyler,29197,4396,0.167,740,0.7,0.07,0.23,,,,,185,185,St. Clair,27
Scotland,29199,4893,0.137,670,0.62,0.28,0.1,,,,,186,186,Ste. Genevieve,24
